Season	Oblast	POP_R	POP_V	POP_A	POP_P	POP_C	POP_E	POP_O	POP_S	XSUM
P00202212	P01	5586	112	2672	1391	0	54	183	1829	11827
P00202212	P02	10137	108	1574	246	0	44	75	2673	14858
P00202212	P03	14651	169	1028	164	0	20	0	3783	19815
P00202212	P04	17497	189	1343	274	0	50	0	5282	24637
P00202212	P05	8860	42	315	46	0	41	1	3005	12311
P00202212	P05.1	1305	59	558	45	0	0	0	145	2112
P00202212	P05.2	1054	43	142	14	0	0	0	134	1387
P00202212	P05.3	246	15	73	5	0	0	0	30	369
P00202212	P05.4	859	38	169	20	0	0	0	119	1205
P00202212	P05.5	324	6	15	0	0	0	0	82	427
P00202212	P05.6	2239	70	147	14	0	0	0	360	2830
P00202212	P06	20999	260	1625	151	0	60	1	7050	30148
P00202212	P07	9269	94	765	125	0	16	0	2241	12511
P00202212	P08	5026	12	127	31	0	45	5	2368	7614
P00202212	P08.1	1105	22	345	32	0	0	0	126	1630
P00202212	P08.2	1076	30	130	49	0	0	1	186	1472
P00202212	P08.3	4050	66	212	22	0	0	0	1402	5752
P00202212	P09	4073	28	182	43	0	8	180	1303	5817
P00202212	P09.1	1835	50	255	45	0	0	0	232	2417
P00202212	P09.2	3445	83	180	23	0	0	0	968	4699
P00202212	P10	13737	83	436	56	0	9	9	4818	19148
P00202212	P10.1	3586	206	678	58	0	0	0	452	4980
P00202212	P10.2	994	47	128	32	0	0	0	186	1387
P00202212	P10.3	1606	117	296	42	0	0	0	305	2366
P00202212	P10.4	1460	70	201	35	0	0	0	278	2044
P00202212	P18	472	2	5	4	0	1	9	163	656
P00202212	P18.1	2751	46	137	28	0	0	44	665	3671
P00202212	P18.2	53	1	2	1	0	0	0	2	59
P00202212	P18.3	61	1	3	0	0	0	0	1	66
