Season	Oblast	POP_R	POP_V	POP_A	POP_ER	POP_EA	POP_C	POP_O	POP_S	XSUM
P00202606	P00	53	0	113	53	113	0	0	0	166
P00202606	P01	5521	163	3734	121	228	0	167	2018	11603
P00202606	P02	10534	166	1838	194	72	0	53	2750	15341
P00202606	P03	15162	181	1275	181	49	0	0	3970	20588
P00202606	P04	19220	225	1575	186	70	0	0	5830	26850
P00202606	P05	10678	61	449	203	28	0	1	3551	14740
P00202606	P05.1	1186	78	601	9	15	0	0	146	2011
P00202606	P05.2	971	42	136	8	5	0	0	134	1283
P00202606	P05.3	200	12	71	1	2	0	0	23	306
P00202606	P05.4	762	34	239	6	7	0	0	121	1156
P00202606	P05.5	316	7	35	0	3	0	0	75	433
P00202606	P05.6	2157	63	141	6	6	0	0	360	2721
P00202606	P06	22999	338	2177	343	88	0	0	7575	33089
P00202606	P07	9524	139	907	110	55	0	0	2188	12758
P00202606	P08	7719	44	326	126	37	0	4	2853	10946
P00202606	P08.1	1035	41	481	11	16	0	0	122	1679
P00202606	P08.2	1654	71	383	4	8	0	0	232	2340
P00202606	P08.3	4226	97	334	14	10	0	0	1288	5945
P00202606	P09	4584	28	151	48	15	0	246	1361	6370
P00202606	P09.1	2376	87	293	15	6	0	0	255	3011
P00202606	P09.2	3609	89	200	12	3	0	0	853	4751
P00202606	P10	15663	103	518	195	32	0	7	5032	21323
P00202606	P10.1	3464	214	708	23	19	0	0	447	4833
P00202606	P10.2	1013	48	126	2	5	0	0	197	1384
P00202606	P10.3	1638	118	269	9	6	0	0	276	2301
P00202606	P10.4	1142	75	201	6	8	0	0	154	1572
P00202606	P18	745	0	13	6	0	0	19	204	981
P00202606	P18.1	2751	46	171	15	4	0	73	665	3706
P00202606	P18.2	292	15	13	2	0	0	0	9	329
P00202606	P18.3	79	4	3	0	0	0	0	3	89
P00202606	P32	0	0	0	0	0	0	0	1	1
