MC	Season	CELKEM_PS	PS_ZPS	RES_PS	MIX_PS	VIS_PS	OTH_PS	RES_PS_ZPS	MIX_PS_ZPS	VIS_PS_ZPS	OTH_PS_ZPS	POCINVST	PA_cnt	IB_cnt
P01	201808	8683	8049	6574	2078	0	31	6098	1933	0	18	198	90	0
P02	201808	12082	11473	7641	4441	0	0	7298	4175	0	0	119	125	0
P03	201808	14839	14221	10335	4504	0	0	9913	4308	0	0	177	122	0
P04	201808	16512	15736	8610	7673	229	0	8198	7326	212	0	279	139	0
P05	201808	9374	8822	4131	5000	243	0	3948	4658	216	0	137	110	0
P06	201808	18265	17372	10905	7355	5	0	10493	6874	5	0	221	164	0
P07	201808	9574	9156	6882	2130	562	0	6522	2099	535	0	89	90	0
P08	201808	13201	12696	8147	4943	111	0	7911	4691	94	0	164	93	0
P13	201808	61	56	0	0	61	0	0	0	56	0	5	2	0
P16	201808	20	18	0	0	20	0	0	0	18	0	2	1	0
P22	201808	126	120	0	0	126	0	0	0	120	0	4	3	0
