house_code,usek_code
21690316,P1-0112
21690502,P1-0130
21690791,P1-0635
21690812,P1-0119
21690855,P1-0119
21690863,P1-0119
21690871,P1-0119
21690898,P1-0119
21690901,P1-0119
21690928,P1-0119
21691053,P1-0104
21691096,P1-0106
21691134,P1-0101
21691142,P1-0101
21691223,P1-0101
21691258,P1-0101
21691266,P1-0101
21691282,P1-0103
21691371,P1-0108
21691436,P1-0110
21691444,P1-0110
21691479,P1-0110
21691517,P1-0113
21691533,P1-0113
21691568,P1-0116
21691622,P1-0116
21691631,P1-0113
21691657,P1-0113
21691673,P1-0116
21691703,P1-0116
21691711,P1-0116
21691720,P1-0113
21691746,P1-0113
21691754,P1-0113
21691771,P1-0113
21691801,P1-0113
21691819,P1-0113
21691827,P1-0113
21691835,P1-0113
21691843,P1-0113
21691851,P1-0113
21691878,P1-0112
21691886,P1-0112
21691894,P1-0112
21691908,P1-0112
21691916,P1-0112
21691924,P1-0112
21691932,P1-0112
21691959,P1-0112
21691967,P1-0112
21691983,P1-0112
21691991,P1-0112
21692009,P1-0112
21692017,P1-0112
21692076,P1-0112
21692084,P1-0111
21692106,P1-0111
21692114,P1-0111
21692122,P1-0111
21692157,P1-0111
21692165,P1-0112
21692220,P1-0119
21692246,P1-0119
21692327,P1-0101
21692475,P1-0112
21692505,P1-0626
21692513,P1-0626
21692521,P1-0626
21692556,P1-0626
21692581,P1-0122
21692602,P1-0122
21692645,P1-0123
21692653,P1-0123
21692661,P1-0123
21692670,P1-0123
21692688,P1-0117
21692700,P1-0112
21692718,P1-0113
21692734,P1-0103
21692751,P1-0217
21692807,P1-0231
21692823,P1-0233
21692831,P1-0233
21692858,P1-0295
21692866,P1-0264
21692882,P1-0264
21692891,P1-0264
21692904,P1-0264
21692912,P1-0278
21692921,P1-0278
21692939,P1-0286
21692947,P1-0286
21692955,P1-0286
21692963,P1-0286
21692980,P1-0286
21692998,P1-0281
21693013,P1-0283
21693021,P1-0283
21693048,P1-0265
21693064,P1-0265
21693081,P1-0265
21693102,P1-0265
