MC,CELKEM_PS,PS_ZPS,RES_PS,MIX_PS,VIS_PS,OTH_PS,RES_PS_ZPS,MIX_PS_ZPS,VIS_PS_ZPS,OTH_PS_ZPS,POCINVST,PA_cnt,IB_cnt,date
P01,8670,8045,6584,2047,0,39,6108,1911,0,26,195,90,0,2018-01-01
P02,12084,11475,7641,4443,0,0,7298,4177,0,0,119,125,0,2018-01-01
P03,9,9,9,0,0,0,9,0,0,0,0,0,0,2018-01-01
P05,9371,8819,4128,5000,243,0,3945,4658,216,0,137,110,0,2018-01-01
P06,18261,17367,10940,7313,8,0,10529,6830,8,0,222,163,0,2018-01-01
P08,12967,12463,8088,4768,111,0,7855,4514,94,0,159,93,0,2018-01-01
P01,8694,8065,6584,2071,0,39,6108,1931,0,26,198,90,0,2018-02-01
P02,12082,11473,7641,4441,0,0,7298,4175,0,0,119,125,0,2018-02-01
P03,14170,13579,10313,3857,0,0,9891,3688,0,0,162,122,0,2018-02-01
P05,9371,8819,4128,5000,243,0,3945,4658,216,0,137,110,0,2018-02-01
P06,18261,17367,10940,7313,8,0,10529,6830,8,0,222,163,0,2018-02-01
P07,9606,9156,6882,2130,562,32,6522,2099,535,0,88,90,0,2018-02-01
P08,12967,12463,8088,4768,111,0,7855,4514,94,0,159,93,0,2018-02-01
P13,61,56,0,0,61,0,0,0,56,0,5,2,0,2018-02-01
P16,20,18,0,0,20,0,0,0,18,0,2,1,0,2018-02-01
P22,126,120,0,0,126,0,0,0,120,0,4,3,0,2018-02-01
P01,8694,8065,6584,2071,0,39,6108,1931,0,26,198,90,0,2018-03-01
P02,12082,11473,7641,4441,0,0,7298,4175,0,0,119,125,0,2018-03-01
P03,14839,14221,10313,4526,0,0,9891,4330,0,0,178,122,0,2018-03-01
P05,9371,8819,4128,5000,243,0,3945,4658,216,0,137,110,0,2018-03-01
P06,18261,17367,10940,7313,8,0,10529,6830,8,0,222,163,0,2018-03-01
P07,9606,9156,6882,2130,562,32,6522,2099,535,0,89,90,0,2018-03-01
P08,12967,12463,8088,4768,111,0,7855,4514,94,0,159,93,0,2018-03-01
P13,61,56,0,0,61,0,0,0,56,0,5,2,0,2018-03-01
P16,20,18,0,0,20,0,0,0,18,0,2,1,0,2018-03-01
P22,126,120,0,0,126,0,0,0,120,0,4,3,0,2018-03-01
P01,8694,8065,6584,2071,0,39,6108,1931,0,26,198,90,0,2018-04-01
P02,12082,11473,7641,4441,0,0,7298,4175,0,0,119,125,0,2018-04-01
P03,14839,14221,10313,4526,0,0,9891,4330,0,0,178,122,0,2018-04-01
P05,9371,8819,4128,5000,243,0,3945,4658,216,0,137,110,0,2018-04-01
P06,18261,17367,10940,7313,8,0,10529,6830,8,0,222,163,0,2018-04-01
P07,9606,9156,6882,2130,562,32,6522,2099,535,0,89,90,0,2018-04-01
P08,13250,12745,8131,5008,111,0,7897,4754,94,0,160,93,0,2018-04-01
P13,61,56,0,0,61,0,0,0,56,0,5,2,0,2018-04-01
P16,20,18,0,0,20,0,0,0,18,0,2,1,0,2018-04-01
P22,126,120,0,0,126,0,0,0,120,0,4,3,0,2018-04-01
P01,8694,8065,6584,2071,0,39,6108,1931,0,26,198,90,0,2018-05-01
P02,12082,11473,7641,4441,0,0,7298,4175,0,0,119,125,0,2018-05-01
P03,14839,14221,10313,4526,0,0,9891,4330,0,0,178,122,0,2018-05-01
P05,9374,8822,4131,5000,243,0,3948,4658,216,0,137,110,0,2018-05-01
P06,18261,17367,10940,7313,8,0,10529,6830,8,0,222,163,0,2018-05-01
P07,9606,9156,6882,2130,562,32,6522,2099,535,0,89,90,0,2018-05-01
P08,13250,12745,8131,5008,111,0,7897,4754,94,0,160,93,0,2018-05-01
P13,61,56,0,0,61,0,0,0,56,0,5,2,0,2018-05-01
P16,20,18,0,0,20,0,0,0,18,0,2,1,0,2018-05-01
P22,126,120,0,0,126,0,0,0,120,0,4,3,0,2018-05-01
P01,8694,8065,6584,2071,0,39,6108,1931,0,26,198,90,0,2018-06-01
P02,12082,11473,7641,4441,0,0,7298,4175,0,0,119,125,0,2018-06-01
P03,14839,14221,10335,4504,0,0,9913,4308,0,0,178,122,0,2018-06-01
P04,3,3,3,0,0,0,3,0,0,0,0,0,0,2018-06-01
P05,9374,8822,4131,5000,243,0,3948,4658,216,0,137,110,0,2018-06-01
P06,18242,17350,10925,7309,8,0,10514,6828,8,0,220,163,0,2018-06-01
P07,9606,9156,6882,2130,562,32,6522,2099,535,0,89,90,0,2018-06-01
P08,13216,12711,8131,4974,111,0,7897,4720,94,0,160,93,0,2018-06-01
P13,61,56,0,0,61,0,0,0,56,0,5,2,0,2018-06-01
P16,20,18,0,0,20,0,0,0,18,0,2,1,0,2018-06-01
P22,126,120,0,0,126,0,0,0,120,0,4,3,0,2018-06-01
P01,8684,8055,6574,2071,0,39,6098,1931,0,26,198,90,0,2018-07-01
P02,12082,11473,7641,4441,0,0,7298,4175,0,0,119,125,0,2018-07-01
P03,14839,14221,10335,4504,0,0,9913,4308,0,0,178,122,0,2018-07-01
P04,16537,15761,8618,7690,229,0,8206,7343,212,0,280,139,0,2018-07-01
P05,9374,8822,4131,5000,243,0,3948,4658,216,0,137,110,0,2018-07-01
P06,18251,17358,10959,7287,5,0,10547,6806,5,0,220,164,0,2018-07-01
P07,9606,9156,6882,2130,562,32,6522,2099,535,0,89,90,0,2018-07-01
P08,13202,12697,8147,4944,111,0,7911,4692,94,0,163,93,0,2018-07-01
P13,61,56,0,0,61,0,0,0,56,0,5,2,0,2018-07-01
P16,20,18,0,0,20,0,0,0,18,0,2,1,0,2018-07-01
P22,126,120,0,0,126,0,0,0,120,0,4,3,0,2018-07-01
P01,8683,8049,6574,2078,0,31,6098,1933,0,18,198,90,0,2018-08-01
P02,12082,11473,7641,4441,0,0,7298,4175,0,0,119,125,0,2018-08-01
P03,14839,14221,10335,4504,0,0,9913,4308,0,0,177,122,0,2018-08-01
P04,16512,15736,8610,7673,229,0,8198,7326,212,0,279,139,0,2018-08-01
P05,9374,8822,4131,5000,243,0,3948,4658,216,0,137,110,0,2018-08-01
P06,18265,17372,10905,7355,5,0,10493,6874,5,0,221,164,0,2018-08-01
P07,9574,9156,6882,2130,562,0,6522,2099,535,0,89,90,0,2018-08-01
P08,13201,12696,8147,4943,111,0,7911,4691,94,0,164,93,0,2018-08-01
P13,61,56,0,0,61,0,0,0,56,0,5,2,0,2018-08-01
P16,20,18,0,0,20,0,0,0,18,0,2,1,0,2018-08-01
P22,126,120,0,0,126,0,0,0,120,0,4,3,0,2018-08-01
P01,8682,8047,6573,2078,0,31,6096,1933,0,18,198,90,0,2018-09-01
P02,12060,11448,7631,4429,0,0,7286,4162,0,0,119,125,0,2018-09-01
P03,14850,14231,10347,4503,0,0,9925,4306,0,0,177,122,0,2018-09-01
P04,16557,15774,8644,7684,229,0,8229,7333,212,0,280,139,0,2018-09-01
P05,9373,8817,4130,5000,243,0,3947,4654,216,0,177,110,0,2018-09-01
P06,18263,17369,10903,7355,5,0,10490,6874,5,0,221,164,0,2018-09-01
P07,9554,9134,6862,2130,562,0,6500,2099,535,0,89,90,0,2018-09-01
P08,13208,12700,8156,4941,111,0,7913,4693,94,0,167,94,0,2018-09-01
P13,61,56,0,0,61,0,0,0,56,0,5,2,0,2018-09-01
P16,20,18,0,0,20,0,0,0,18,0,2,1,0,2018-09-01
P22,126,120,0,0,126,0,0,0,120,0,4,3,0,2018-09-01
P01,8679,8045,6571,2077,0,31,6094,1933,0,18,197,90,0,2018-10-01
P02,12092,11493,7624,4468,0,0,7282,4211,0,0,119,125,0,2018-10-01
P03,14999,14404,10465,4534,0,0,10045,4359,0,0,175,122,0,2018-10-01
P04,16551,15772,8639,7683,229,0,8225,7335,212,0,284,139,0,2018-10-01
P05,9358,8804,4105,5012,241,0,3922,4666,216,0,177,110,0,2018-10-01
P06,18542,17651,11117,7420,5,0,10701,6945,5,0,217,165,0,2018-10-01
P07,9580,9162,6888,2130,562,0,6528,2099,535,0,89,90,0,2018-10-01
P08,13931,13403,8795,5019,117,0,8534,4769,100,0,168,96,0,2018-10-01
P13,61,56,0,0,61,0,0,0,56,0,5,2,0,2018-10-01
P16,20,18,0,0,20,0,0,0,18,0,2,1,0,2018-10-01
P22,126,120,0,0,126,0,0,0,120,0,4,3,0,2018-10-01
P01,8698,8042,6571,2096,0,31,6094,1930,0,18,197,90,0,2018-11-01
P02,12096,11490,7624,4472,0,0,7278,4212,0,0,119,125,0,2018-11-01
P03,14989,14395,10457,4532,0,0,10037,4358,0,0,175,122,0,2018-11-01
P04,16573,15793,8624,7720,229,0,8211,7370,212,0,282,142,0,2018-11-01
P05,9358,8804,4105,5012,241,0,3922,4666,216,0,177,110,0,2018-11-01
P06,18548,17657,11123,7420,5,0,10707,6945,5,0,217,165,0,2018-11-01
P07,9560,9149,6888,2130,542,0,6530,2099,520,0,88,90,0,2018-11-01
P08,13937,13413,8791,5037,109,0,8533,4786,94,0,168,96,0,2018-11-01
P13,61,56,0,0,61,0,0,0,56,0,5,2,0,2018-11-01
P16,20,18,0,0,20,0,0,0,18,0,2,1,0,2018-11-01
P22,126,120,0,0,126,0,0,0,120,0,4,3,0,2018-11-01
P01,8682,8026,6555,2096,0,31,6078,1930,0,18,197,90,0,2018-12-01
P02,12120,11515,7648,4472,0,0,7303,4212,0,0,119,125,0,2018-12-01
P03,14947,14354,10431,4516,0,0,10010,4344,0,0,171,123,0,2018-12-01
P04,16586,15807,8637,7720,229,0,8225,7370,212,0,282,142,0,2018-12-01
