date,Oblast,POP_R,POP_V,POP_A,POP_P,POP_C,POP_E,POP_O,POP_S,XSUM,parent district
2019-04-01,P01,5475,84,2193,1098,0,0,191,1600,10641,
2019-04-01,P02,9624,93,1279,207,0,0,57,2442,13702,
2019-04-01,P03,13137,89,747,190,0,0,1,3426,17590,
2019-04-01,P04,12639,178,995,211,0,0,0,3710,17733,
2019-04-01,P05,7353,121,888,78,0,0,0,2041,10481,
2019-04-01,P05.0,4076,14,141,17,0,0,0,1538,5786,P05
2019-04-01,P05.1,1451,60,492,37,0,0,0,181,2221,P05
2019-04-01,P05.2,669,16,85,7,0,0,0,102,879,P05
2019-04-01,P05.3,79,0,18,0,0,0,0,9,106,P05
2019-04-01,P05.4,644,19,129,17,0,0,0,104,913,P05
2019-04-01,P05.5,387,11,19,0,0,0,0,100,517,P05
2019-04-01,P05.6,47,1,4,0,0,0,0,7,59,P05
2019-04-01,P06,17434,148,1102,101,0,0,1,5577,24363,
2019-04-01,P07,8582,64,483,96,0,0,0,2030,11255,
2019-04-01,P08,10747,98,719,169,0,0,6,3954,15693,
2019-04-01,P08.0,4314,9,104,21,0,0,6,2161,6615,P08
2019-04-01,P08.1,1097,16,294,47,0,0,0,125,1579,P08
2019-04-01,P08.2,1165,18,109,73,0,0,0,174,1539,P08
2019-04-01,P08.3,4171,55,212,28,0,0,0,1494,5960,P08
2019-05-01,P01,5491,87,2219,1077,0,3,187,1610,10674,
2019-05-01,P02,9675,99,1303,214,0,2,56,2466,13815,
2019-05-01,P03,13176,94,757,190,0,2,1,3455,17675,
2019-05-01,P04,12844,177,1009,214,0,1,0,3757,18002,
2019-05-01,P05,7453,122,900,81,0,1,0,2055,10612,
2019-05-01,P05.0,4143,15,142,18,0,1,0,1554,5873,P05
2019-05-01,P05.1,1464,62,498,38,0,0,0,181,2243,P05
2019-05-01,P05.2,680,15,89,7,0,0,0,102,893,P05
2019-05-01,P05.3,81,0,16,0,0,0,0,9,106,P05
2019-05-01,P05.4,644,19,131,18,0,0,0,103,915,P05
2019-05-01,P05.5,392,11,19,0,0,0,0,99,521,P05
2019-05-01,P05.6,49,0,5,0,0,0,0,7,61,P05
2019-05-01,P06,17526,144,1104,102,0,1,1,5650,24528,
2019-05-01,P07,8588,63,491,98,0,0,0,2046,11286,
2019-05-01,P08,10859,100,720,172,0,0,5,3984,15840,
2019-05-01,P08.0,4390,9,107,23,0,0,5,2169,6703,P08
2019-05-01,P08.1,1092,16,292,48,0,0,0,127,1575,P08
2019-05-01,P08.2,1177,18,112,73,0,0,0,178,1558,P08
2019-05-01,P08.3,4200,57,209,28,0,0,0,1510,6004,P08
2019-06-01,P01,5495,90,2238,1072,0,27,187,1617,10726,
2019-06-01,P02,9691,92,1299,206,0,12,56,2486,13842,
2019-06-01,P03,13240,93,762,186,0,7,1,3458,17747,
2019-06-01,P04,13035,183,998,195,0,29,0,3781,18221,
2019-06-01,P05,7530,124,906,82,0,11,0,2069,10722,
2019-06-01,P05.0,4190,14,142,19,0,11,0,1567,5943,P05
2019-06-01,P05.1,1487,65,496,38,0,0,0,181,2267,P05
2019-06-01,P05.2,684,15,92,7,0,0,0,103,901,P05
2019-06-01,P05.3,83,0,19,0,0,0,0,9,111,P05
2019-06-01,P05.4,643,19,133,18,0,0,0,104,917,P05
