date,mestska_cast,POP_R,POP_V,POP_A,POP_P,POP_C,POP_E,POP_O,POP_S,POP_CELKEM,CELKEM_PS,PS_ZPS,RES_PS,MIX_PS,VIS_PS,OTH_PS,RES_PS_ZPS,MIX_PS_ZPS,VIS_PS_ZPS,OTH_PS_ZPS,POCINVST,PA_cnt,IB_cnt
2019-04-01,P01,5475.0,84.0,2193.0,1098.0,0.0,0.0,191.0,1600.0,10641.0,8667.0,8014.0,6541.0,2095.0,0.0,31.0,6068.0,1928.0,0.0,18.0,195.0,90.0,0.0
2019-04-01,P02,9624.0,93.0,1279.0,207.0,0.0,0.0,57.0,2442.0,13702.0,12116.0,11491.0,7668.0,4448.0,0.0,0.0,7307.0,4184.0,0.0,0.0,119.0,125.0,0.0
2019-04-01,P03,13137.0,89.0,747.0,190.0,0.0,0.0,1.0,3426.0,17590.0,14960.0,14364.0,10448.0,4512.0,0.0,0.0,10021.0,4343.0,0.0,0.0,176.0,122.0,0.0
2019-04-01,P04,12639.0,178.0,995.0,211.0,0.0,0.0,0.0,3710.0,17733.0,16548.0,15760.0,8642.0,7677.0,229.0,0.0,8230.0,7318.0,212.0,0.0,280.0,142.0,0.0
2019-04-01,P05,7353.0,121.0,888.0,78.0,0.0,0.0,0.0,2041.0,10481.0,10140.0,9573.0,4856.0,5058.0,226.0,0.0,4658.0,4709.0,206.0,0.0,191.0,111.0,0.0
2019-04-01,P06,17434.0,148.0,1102.0,101.0,0.0,0.0,1.0,5577.0,24363.0,21941.0,20968.0,13570.0,8366.0,5.0,0.0,13103.0,7860.0,5.0,0.0,248.0,189.0,0.0
2019-04-01,P07,8582.0,64.0,483.0,96.0,0.0,0.0,0.0,2030.0,11255.0,9632.0,9225.0,6918.0,2136.0,578.0,0.0,6569.0,2104.0,552.0,0.0,87.0,94.0,0.0
2019-04-01,P08,10747.0,98.0,719.0,169.0,0.0,0.0,6.0,3954.0,15693.0,15190.0,14610.0,9813.0,5268.0,109.0,0.0,9509.0,5007.0,94.0,0.0,177.0,99.0,0.0
2019-05-01,P01,5491.0,87.0,2219.0,1077.0,0.0,3.0,187.0,1610.0,10674.0,8647.0,7999.0,6521.0,2095.0,0.0,31.0,6051.0,1930.0,0.0,18.0,189.0,90.0,0.0
2019-05-01,P02,9675.0,99.0,1303.0,214.0,0.0,2.0,56.0,2466.0,13815.0,12064.0,11439.0,7632.0,4432.0,0.0,0.0,7271.0,4168.0,0.0,0.0,119.0,125.0,0.0
2019-05-01,P03,13176.0,94.0,757.0,190.0,0.0,2.0,1.0,3455.0,17675.0,14961.0,14362.0,10449.0,4512.0,0.0,0.0,10019.0,4343.0,0.0,0.0,178.0,122.0,0.0
2019-05-01,P04,12844.0,177.0,1009.0,214.0,0.0,1.0,0.0,3757.0,18002.0,16337.0,15555.0,8616.0,7492.0,229.0,0.0,8206.0,7137.0,212.0,0.0,280.0,141.0,0.0
2019-05-01,P05,7453.0,122.0,900.0,81.0,0.0,1.0,0.0,2055.0,10612.0,10140.0,9573.0,4894.0,5020.0,226.0,0.0,4695.0,4672.0,206.0,0.0,191.0,111.0,0.0
2019-05-01,P06,17526.0,144.0,1104.0,102.0,0.0,1.0,1.0,5650.0,24528.0,21932.0,20968.0,13561.0,8366.0,5.0,0.0,13098.0,7865.0,5.0,0.0,248.0,189.0,0.0
2019-05-01,P07,8588.0,63.0,491.0,98.0,0.0,0.0,0.0,2046.0,11286.0,9632.0,9224.0,6918.0,2136.0,578.0,0.0,6568.0,2104.0,552.0,0.0,87.0,94.0,0.0
2019-05-01,P08,10859.0,100.0,720.0,172.0,0.0,0.0,5.0,3984.0,15840.0,15188.0,14611.0,9811.0,5268.0,109.0,0.0,9510.0,5007.0,94.0,0.0,177.0,99.0,0.0
2019-06-01,P01,5495.0,90.0,2238.0,1072.0,0.0,27.0,187.0,1617.0,10726.0,8646.0,7998.0,6520.0,2095.0,0.0,31.0,6050.0,1930.0,0.0,18.0,189.0,90.0,0.0
2019-06-01,P02,9691.0,92.0,1299.0,206.0,0.0,12.0,56.0,2486.0,13842.0,12086.0,11407.0,7654.0,4432.0,0.0,0.0,7291.0,4116.0,0.0,0.0,119.0,125.0,0.0
2019-06-01,P03,13240.0,93.0,762.0,186.0,0.0,7.0,1.0,3458.0,17747.0,14993.0,14393.0,10481.0,4512.0,0.0,0.0,10050.0,4343.0,0.0,0.0,176.0,122.0,0.0
2019-06-01,P04,13035.0,183.0,998.0,195.0,0.0,29.0,0.0,3781.0,18221.0,16318.0,15535.0,8594.0,7495.0,229.0,0.0,8183.0,7140.0,212.0,0.0,282.0,141.0,0.0
2019-06-01,P05,7530.0,124.0,906.0,82.0,0.0,11.0,0.0,2069.0,10722.0,10140.0,9569.0,4894.0,5020.0,226.0,0.0,4695.0,4668.0,206.0,0.0,191.0,112.0,0.0
2019-06-01,P06,17627.0,150.0,1103.0,102.0,0.0,13.0,1.0,5700.0,24696.0,21909.0,20943.0,13541.0,8363.0,5.0,0.0,13076.0,7862.0,5.0,0.0,249.0,188.0,0.0
2019-06-01,P07,8573.0,63.0,504.0,100.0,0.0,2.0,0.0,2070.0,11312.0,9715.0,9288.0,6918.0,2219.0,578.0,0.0,6570.0,2166.0,552.0,0.0,87.0,95.0,0.0
2019-06-01,P08,10956.0,104.0,731.0,166.0,0.0,7.0,5.0,4002.0,15971.0,15188.0,14610.0,9811.0,5268.0,109.0,0.0,9509.0,5007.0,94.0,0.0,177.0,99.0,0.0
2019-07-01,P01,5506.0,92.0,2284.0,1085.0,0.0,66.0,187.0,1619.0,10839.0,8647.0,8003.0,6520.0,2096.0,0.0,31.0,6054.0,1931.0,0.0,18.0,189.0,90.0,0.0
2019-07-01,P02,9693.0,93.0,1308.0,207.0,0.0,35.0,56.0,2505.0,13897.0,12044.0,11364.0,7703.0,4341.0,0.0,0.0,7336.0,4028.0,0.0,0.0,118.0,125.0,0.0
2019-07-01,P03,13265.0,93.0,767.0,191.0,0.0,14.0,1.0,3475.0,17806.0,14993.0,14393.0,10481.0,4512.0,0.0,0.0,10050.0,4343.0,0.0,0.0,175.0,122.0,0.0
2019-07-01,P04,11587.0,164.0,838.0,181.0,0.0,58.0,0.0,3525.0,16353.0,16578.0,15792.0,8839.0,7510.0,229.0,0.0,8426.0,7154.0,212.0,0.0,282.0,141.0,0.0
2019-07-01,P05,7586.0,123.0,897.0,84.0,0.0,35.0,0.0,2078.0,10803.0,10136.0,9565.0,4890.0,5020.0,226.0,0.0,4691.0,4668.0,206.0,0.0,191.0,112.0,0.0
2019-07-01,P06,17731.0,146.0,1111.0,105.0,0.0,36.0,1.0,5728.0,24858.0,21906.0,20933.0,13537.0,8364.0,5.0,0.0,13070.0,7858.0,5.0,0.0,249.0,188.0,0.0
2019-07-01,P07,8561.0,60.0,511.0,97.0,0.0,8.0,0.0,2082.0,11319.0,9717.0,9289.0,6918.0,2219.0,580.0,0.0,6569.0,2166.0,554.0,0.0,93.0,95.0,0.0
2019-07-01,P08,11000.0,102.0,723.0,166.0,0.0,33.0,5.0,4018.0,16047.0,15178.0,14599.0,9802.0,5267.0,109.0,0.0,9499.0,5006.0,94.0,0.0,175.0,99.0,0.0
