date,kod_useku,POP_CELKEM,pop_rezidentska,pop_vlastnicka,pop_abonentska,pop_prenosna,pop_carsharing,pop_ekologicka,pop_ostatni,pop_socialni
2019-03-31,P1-0101,12,7,0,1,0,0,0,1,3
2019-03-31,P1-0103,8,4,0,1,2,0,0,0,1
2019-03-31,P1-0104,3,2,0,0,0,0,0,0,1
2019-03-31,P1-0106,3,1,0,1,0,0,0,1,0
2019-03-31,P1-0108,5,1,2,0,0,0,0,0,2
2019-03-31,P1-0110,13,2,0,8,1,0,0,0,2
2019-03-31,P1-0111,32,25,0,2,0,0,0,0,5
2019-03-31,P1-0112,82,51,2,8,3,0,0,1,17
2019-03-31,P1-0113,21,11,0,5,0,0,1,1,3
2019-03-31,P1-0116,7,4,0,0,0,0,0,0,3
2019-03-31,P1-0119,18,5,0,9,2,0,0,0,2
2019-03-31,P1-0122,13,8,0,1,0,0,0,1,3
2019-03-31,P1-0123,15,10,0,1,0,0,0,0,4
2019-03-31,P1-0124,178,98,1,17,25,0,1,6,30
2019-03-31,P1-0126,38,23,0,6,5,0,1,0,3
2019-03-31,P1-0130,43,25,0,1,0,0,0,5,12
2019-03-31,P1-0133,60,31,0,10,9,0,0,0,10
2019-03-31,P1-0137,15,9,0,0,0,0,0,0,6
2019-03-31,P1-0138,10,9,0,1,0,0,0,0,0
2019-03-31,P1-0139,64,36,1,4,10,0,0,1,12
2019-03-31,P1-0143,8,5,0,0,1,0,0,1,1
2019-03-31,P1-0145,29,14,0,8,3,0,0,0,4
2019-03-31,P1-0147,42,27,0,6,1,0,0,0,8
2019-03-31,P1-0148,45,35,1,0,0,0,0,0,9
2019-03-31,P1-0149,8,4,0,1,0,0,0,1,2
2019-03-31,P1-0150,130,82,0,12,1,0,1,4,30
2019-03-31,P1-0156,21,15,1,1,0,0,0,0,4
2019-03-31,P1-0157,18,9,1,5,3,0,0,0,0
2019-03-31,P1-0158,2,2,0,0,0,0,0,0,0
2019-03-31,P1-0159,12,7,1,3,0,0,0,0,1
2019-03-31,P1-0160,13,6,0,0,0,0,0,0,7
2019-03-31,P1-0162,25,19,0,0,0,0,0,0,6
2019-03-31,P1-0163,49,35,1,0,0,0,0,3,10
2019-03-31,P1-0164,52,34,1,4,0,0,0,0,13
2019-03-31,P1-0165,16,10,0,4,0,0,0,0,2
2019-03-31,P1-0167,10,5,0,0,0,0,0,0,5
2019-03-31,P1-0168,8,7,0,0,0,0,1,0,0
2019-03-31,P1-0170,22,18,0,2,0,0,0,0,2
2019-03-31,P1-0171,24,15,1,0,0,0,0,0,8
2019-03-31,P1-0172,36,26,0,4,0,0,0,0,6
2019-03-31,P1-0174,23,8,1,8,1,0,1,0,4
2019-03-31,P1-0179,6,0,0,0,6,0,0,0,0
2019-03-31,P1-0181,8,3,0,3,0,0,0,0,2
2019-03-31,P1-0182,58,38,1,3,3,0,0,1,12
2019-03-31,P1-0183,2,2,0,0,0,0,0,0,0
2019-03-31,P1-0186,104,65,1,15,8,0,0,1,14
2019-03-31,P1-0191,4,1,0,0,1,0,0,0,2
2019-03-31,P1-0192,9,6,0,0,1,0,0,1,1
2019-03-31,P1-0194,20,12,0,3,0,0,0,0,5
2019-03-31,P1-0195,19,8,1,2,7,0,0,0,1
2019-03-31,P1-0196,82,53,4,12,3,0,1,1,8
2019-03-31,P1-0199,9,6,0,2,0,0,0,0,1
2019-03-31,P1-0200,13,9,0,3,0,0,0,0,1
2019-03-31,P1-0201,35,10,1,8,14,0,1,0,1
2019-03-31,P1-0202,33,22,1,1,1,0,0,0,8
2019-03-31,P1-0203,8,1,0,1,5,0,0,0,1
2019-03-31,P1-0206,20,11,0,4,0,0,0,0,5
2019-03-31,P1-0208,6,4,0,1,0,0,0,0,1
2019-03-31,P1-0210,1,0,0,1,0,0,0,0,0
2019-03-31,P1-0211,39,23,1,5,0,0,0,1,9
2019-03-31,P1-0213,7,3,0,0,1,0,0,2,1
2019-03-31,P1-0219,1,0,0,1,0,0,0,0,0
2019-03-31,P1-0223,44,20,2,13,0,0,0,1,8
2019-03-31,P1-0224,1,0,0,0,0,0,0,0,1
2019-03-31,P1-0228,88,57,1,10,3,0,0,1,16
2019-03-31,P1-0230,73,37,0,10,11,0,0,0,15
2019-03-31,P1-0231,66,41,1,12,3,0,1,0,8
2019-03-31,P1-0233,91,51,1,20,2,0,0,0,17
2019-03-31,P1-0234,72,42,1,14,1,0,0,0,14
2019-03-31,P1-0235,24,21,0,0,0,0,0,0,3
2019-03-31,P1-0236,13,5,1,1,6,0,0,0,0
2019-03-31,P1-0240,19,0,0,0,18,0,0,1,0
2019-03-31,P1-0242,24,0,0,0,0,0,0,19,5
2019-03-31,P1-0243,5,1,0,2,2,0,0,0,0
2019-03-31,P1-0244,148,80,1,32,13,0,1,2,19
2019-03-31,P1-0246,122,45,0,28,38,0,0,0,11
2019-03-31,P1-0249,204,119,3,44,18,0,1,4,15
2019-03-31,P1-0250,24,16,0,2,0,0,0,1,5
2019-03-31,P1-0252,1,0,0,0,0,0,0,0,1
2019-03-31,P1-0253,18,5,0,1,0,0,0,0,12
2019-03-31,P1-0258,20,14,0,1,0,0,0,0,5
2019-03-31,P1-0259,151,56,0,38,37,0,0,3,17
2019-03-31,P1-0263,36,17,1,7,1,0,0,0,10
2019-03-31,P1-0264,83,34,0,14,17,0,0,3,15
2019-03-31,P1-0265,75,37,1,16,10,0,0,0,11
2019-03-31,P1-0269,51,14,1,10,25,0,0,0,1
2019-03-31,P1-0271,62,34,0,14,4,0,0,4,6
2019-03-31,P1-0274,24,8,0,11,4,0,0,0,1
2019-03-31,P1-0276,18,0,0,2,16,0,0,0,0
2019-03-31,P1-0277,147,44,1,20,64,0,0,1,17
2019-03-31,P1-0278,84,26,2,41,6,0,1,2,6
2019-03-31,P1-0279,79,37,1,22,4,0,0,0,15
2019-03-31,P1-0281,58,29,1,8,3,0,3,0,14
2019-03-31,P1-0283,15,11,0,0,0,0,0,0,4
2019-03-31,P1-0286,76,44,1,9,4,0,0,1,17
2019-03-31,P1-0295,4,4,0,0,0,0,0,0,0
2019-03-31,P1-0302,32,17,0,3,0,0,0,1,11
2019-03-31,P1-0303,40,25,0,7,2,0,0,0,6
2019-03-31,P1-0304,23,8,2,6,2,0,0,0,5
2019-03-31,P1-0307,2,0,0,1,1,0,0,0,0
2019-03-31,P1-0308,1,1,0,0,0,0,0,0,0
2019-03-31,P1-0309,64,40,0,16,0,0,0,1,7
2019-03-31,P1-0310,70,28,0,24,6,0,1,4,7
2019-03-31,P1-0319,60,4,0,22,4,0,3,2,25
2019-03-31,P1-0322,381,0,0,11,5,0,182,182,1
2019-03-31,P1-0323,14,3,0,4,7,0,0,0,0
2019-03-31,P1-0326,42,16,0,17,3,0,0,0,6
2019-03-31,P1-0327,10,7,1,1,0,0,0,0,1
2019-03-31,P1-0328,29,13,1,10,1,0,0,0,4
2019-03-31,P1-0330,30,18,0,6,2,0,0,0,4
2019-03-31,P1-0332,20,10,0,10,0,0,0,0,0
2019-03-31,P1-0333,19,10,1,4,0,0,0,0,4
2019-03-31,P1-0336,19,9,0,7,0,0,1,1,1
2019-03-31,P1-0337,37,26,0,2,1,0,0,0,8
2019-03-31,P1-0340,3,1,0,1,0,0,0,1,0
