kod_zsj,nazev_zsj,obyvatel,parkovacich_mist_celkem,parkovacich_mist_v_zps,respektovanost_pct,obsazenost_pct,rezidenti_do_500m_pct,rezidenti_do_125m_pct,rezidenti_od_126m_do_500m_pct,rezidenti_od_501m_do_2000m_pct,rezidenti_nad_2000m_pct,navstevnici_platici_pct,navstevnici_neplatici_pct,volna_mista_pct,rezidentska_pct,vlastnicka_pct,abonentska_pct,prenosna_pct,carsharing_pct,ekologicka_pct,ostatni_pct,socialni_pct,část dne,mestska_cast,filename,date,frekvence,navstevnici_pct,soucet_vsech_typu_pct,navstevnici_neplatici,rezidentska,navstevnici_platici,abonentska,rezidenti_do_125m,rezidenti_nad_2000m,volna_mista,ekologicka,navstevnici,soucet_vsech_typu,carsharing,rezidenti_od_501m_do_2000m,respektovanost,prenosna,vlastnicka,socialni,ostatni,obsazenost,rezidenti_do_500m,rezidenti_od_126m_do_500m
127027,Jakubský obvod,2593,404,356,0.7,0.76,0.46,0.24,0.11,0.07,0.0,0.06,0.23,0.24,0.19,0.0,0.11,0.05,0.0,0.03,0.0,0.07,den,P1,P01-OR_202311D_NJ.json,2023-11-30,měsíční,0.34,1.03,92.92,76.76,24.24,44.44,96.96,0.0,96.96,12.12,137.36,416.12,0.0,28.28,282.79999999999995,20.200000000000003,0.0,28.28,0.0,307.04,185.84,44.44
127094,Horní malostranský obvod,2006,428,312,0.77,0.96,0.55,0.37,0.16,0.09,0.02,0.04,0.22,0.04,0.37,0.0,0.09,0.05,0.0,0.02,0.0,0.12,den,P1,P01-OR_202311D_NJ.json,2023-11-30,měsíční,0.31,1.0,94.16,158.35999999999999,17.12,38.519999999999996,158.35999999999999,8.56,17.12,8.56,132.68,428.0,0.0,38.519999999999996,329.56,21.400000000000002,0.0,51.36,0.0,410.88,235.4,68.48
127116,Strahovská zahrada,20,23,21,0.57,0.64,0.07,0.05,0.0,0.08,0.1,0.14,0.28,0.36,0.17,0.0,0.03,0.0,0.0,0.03,0.0,0.03,den,P1,P01-OR_202311D_NJ.json,2023-11-30,měsíční,0.42,1.04,6.44,3.91,3.22,0.69,1.1500000000000001,2.3000000000000003,8.28,0.69,9.66,23.92,0.0,1.84,13.11,0.0,0.0,0.69,0.0,14.72,1.61,0.0
127124,Pohořelec,747,280,256,0.82,0.66,0.43,0.22,0.06,0.04,0.04,0.07,0.12,0.34,0.22,0.0,0.05,0.02,0.0,0.02,0.0,0.07,den,P1,P01-OR_202311D_NJ.json,2023-11-30,měsíční,0.21,0.93,33.6,61.6,19.6,14.0,61.6,11.200000000000001,95.2,5.6000000000000005,58.8,260.40000000000003,0.0,11.200000000000001,229.6,5.6000000000000005,0.0,19.6,0.0,184.8,120.39999999999999,16.8
127132,Hrad,138,133,123,0.74,0.44,0.34,0.14,0.01,0.14,0.0,0.02,0.12,0.56,0.2,0.0,0.05,0.0,0.0,0.02,0.0,0.04,den,P1,P01-OR_202311D_NJ.json,2023-11-30,měsíční,0.14,1.01,15.959999999999999,26.6,2.66,6.65,18.62,0.0,74.48,2.66,18.62,134.33,0.0,18.62,98.42,0.0,0.0,5.32,0.0,58.52,45.220000000000006,1.33
127141,Dolní malostranský obvod,2925,820,640,0.75,0.83,0.53,0.32,0.12,0.09,0.01,0.06,0.21,0.17,0.33,0.0,0.06,0.06,0.0,0.03,0.0,0.09,den,P1,P01-OR_202311D_NJ.json,2023-11-30,měsíční,0.33,1.07,172.2,270.6,49.199999999999996,49.199999999999996,262.4,8.2,139.4,24.599999999999998,270.6,877.4000000000001,0.0,73.8,615.0,49.199999999999996,0.0,73.8,0.0,680.6,434.6,98.39999999999999
127035,Petrský obvod,4234,1095,996,0.74,0.89,0.48,0.34,0.09,0.08,0.01,0.11,0.23,0.11,0.32,0.0,0.09,0.04,0.0,0.04,0.0,0.07,den,P1,P01-OR_202311D_NJ.json,2023-11-30,měsíční,0.38,1.05,251.85000000000002,350.40000000000003,120.45,98.55,372.3,10.950000000000001,120.45,43.800000000000004,416.1,1149.75,0.0,87.60000000000001,810.3,43.800000000000004,0.0,76.65,0.0,974.5500000000001,525.6,98.55
127051,Jindřišský obvod,3035,1147,1058,0.71,0.89,0.34,0.21,0.09,0.09,0.0,0.16,0.26,0.11,0.19,0.0,0.12,0.04,0.0,0.05,0.0,0.05,den,P1,P01-OR_202311D_NJ.json,2023-11-30,měsíční,0.46,1.02,298.22,217.93,183.52,137.64,240.87,0.0,126.17,57.35,527.62,1169.94,0.0,103.22999999999999,814.37,45.88,0.0,57.35,0.0,1020.83,389.98,103.22999999999999
127060,Smetanovo divadlo,0,17,15,0.28,0.5,0.09,0.01,0.04,0.08,0.0,0.01,0.36,0.5,0.1,0.0,0.02,0.01,0.0,0.0,0.0,0.0,den,P1,P01-OR_202311D_NJ.json,2023-11-30,měsíční,0.38,1.01,6.12,1.7000000000000002,0.17,0.34,0.17,0.0,8.5,0.0,6.46,17.17,0.0,1.36,4.760000000000001,0.17,0.0,0.0,0.0,8.5,1.53,0.68
126993,Betlémský obvod,4100,1135,972,0.76,0.92,0.45,0.3,0.11,0.08,0.0,0.09,0.22,0.08,0.26,0.0,0.11,0.04,0.0,0.03,0.0,0.08,den,P1,P01-OR_202311D_NJ.json,2023-11-30,měsíční,0.35,0.95,249.7,295.1,102.14999999999999,124.85,340.5,0.0,90.8,34.05,397.25,1078.25,0.0,90.8,862.6,45.4,0.0,90.8,0.0,1044.2,510.75,124.85
